idiom,def
merry christmas,see also our list of christmas card sayings and expressions
method in my madness,reason behind apparent folly or disorder
mexican wave,"a
wave effect formed when crowds in stadia rise up and down from their seats in
succession"
mickey finn,a sedative or sometimes in the us a purgative drug surreptitiously slipped into someones drink
middle for diddle,a rhyme used to decide who starts a darts match
middle of the road,something unadventurous or inoffensive opting to go neither one way or the other
might and main,with might and main is with all of ones strength
the pen is mightier than the sword,literal meaning
mighty oaks from little acorns grow,great things may come from small beginnings
"milk of human kindness
minced oaths
minced words
mind your ps and qs
minds ear
minds eye
ministering angel shall my sister be  a 
mint condition



misery acquaints a man with strange bedfellows
misquotes
miss is as good as a mile
moaning minnie
mondegreens
montezumas revenge
money phrases
money for old rope
monstrous regiment of women
monty  the full
moot point
morbid obesity
more bang for your buck
more fool you
more haste less speed
more honoured in the breach than in the observance
more light
morning person
mother country
motley crew
mouthwatering
movable feast
movers and shakers
moving finger writes  the 
moving the goalposts
much ado about nothing
much of a muchness
mud  your name is
mull something over
multitude of sins
mumbo jumbo
mums the word
murphys law
music has charms to soothe the savage breast
mutts nuts  the 
mutt and jeff
mutton dressed as lamb
my bad 
my better half 
my cup of tea
my cup runneth over
my giddy aunt
my husband and i
my minds eye
my old china
my old dutch
my salad days
my stars and garters
my way or the highway
nail your colours to the mast
nambypamby
name and shame
name is mud
nasty brutish and short
nation of shopkeepers  a 
nautical phrases
near the knuckle 
necessity is the mother of invention
neer cast a clout till may be out
neer do well
needs must 
neither a borrower nor a lender be
neither fish nor flesh nor good red herring
neither here nor there
nestegg
nest of vipers  a 
never give a sucker an even break
never knowingly undersold
never look a gift horse in the mouth
nevernever land
never the twain shall meet
new kid on the block
nice as ninepence
nice kettle of fish
in the nick of time 
night owl
nine days wonder
nip and tuck
nip in the bud
nittygritty
nobrainer
no dice
no holds barred
no laughing matter
no love lost
no man is an island
no more cakes and ale
no names no packdrill
no quarter given
no rest for the wicked
no room to swing a cat
no truck with
no way jose
nod is as good as a wink  a 
nod  the land of
norange  a 
nosy parker
not a dickybird
not by a long chalk
not my cup of tea
not for all the tea in china
not playing with a full deck
not rocket science
not tonight josephine
not worth a plugged nickel
not worth the candle
nothing is certain but death and taxes
nothing succeeds like success
nothing ventured nothing gained
now is the winter of our discontent
nth degree 
nul points
nutshell  in a
o romeo romeo wherefore art thou romeo
o ye of little faith
odds bodkins
off his own bat
off the record
off with his head



offing  in the
oh my stars and garters
oh they have slain the earl of moray and lady mondegreen
okay
okeydokey
old as methuselah
old as the hills
old chestnut
old codger
old hat
old lang syne  see auld lang syne
on a hiding to nothing
on a wing and a prayer
on carey street
on cloud nine
on queer street
on tenterhooks
on the ball
on the bubble
on the button
on the dole
on the fiddle
on the pigs back
on the qt
on the shoulders of giants
on the side of the angels
on the wagon
on the warpath
on with the motley
on your beam ends
on your tod
once bitten twice shy
once in a blue moon
once more unto the breach dear friends once more
onehit wonder
one fell swoop  at
one for the road
one foot in the grave
one good turn deserves another
one hand washes the other
one over the eight
one sandwich short of a picnic
one small step for man
one stop shop
one swallow doesnt make a summer
ones hearts content
oopsadaisy
open season
the order of the boot
ough  the many ways to pronounce
out of sight
out of sight out of mind
out of sorts
out of the jaws of death
out of the mouths of babes and sucklings
out on a limb
over a barrel
overegg the pudding
over the moon
over the top
overpaid oversexed and over here
oxo cube
ps and qs  mind your 
 packed to the gunwales
paddle your own canoe
paint the town red
panic stations
paper tiger
parting shot  parthian shot 
pass over to the other side
pass the buck
paying guest  a
pdq  pretty damn quick
pearls before swine
pears for your heirs
peeping tom
peg out
pellmell
the pen is mightier than the sword 
pennies from heaven
penny dreadful
the penny drops 
penny pinching
penny for your thoughts  a
penny saved is a penny earned  a 
penny wise and pound foolish
pester power
peter out
petty cash
phrases and sayings quiz
phrases that people get wrong
physician heal thyself
pick n mix 
picture is worth a thousand words  a 
pictureperfect
pie  as easy as 
pie in the sky
piece of cake  a
piece of piss
piece of the action
pig in a poke
pigeonchested
pigs back  on the 
pigs ear
in a pigs eye
pig and whistle
piggyback
pigs might fly
pin money
take with a pinch of salt
pip  get thegot the have the 
pipe down
pipe dream  a
piping hot
piss and vinegar  full of 
pitch black
pitch dark
place for everything and everything in its place  a 
plague on both your houses  a 
plain sailing
plates of meat
play by ear
play devils advocate
play ducks and drakes
play fast and loose
play gooseberry
play it again sam
play second fiddle
play silly buggers
play the giddy goat
play the race card
pleased as punch
plugugly
plugged nickel
poetic justice



pointandclick 
point percy at the porcelain
politically correct
pointblank
point to point
pommy bashing
pomp and circumstance
pond life
pony and trap
pony up
pop goes the weasel
pop your clogs
popular fallacies  the nonsense nine 
pork pies
posh  port out starboard home
pot calling the kettle black  the 
take potluck 
pound of flesh
pour oil on troubled waters
power corrupts absolute power corrupts absolutely
power dressing
powers that be  the 
praying at the porcelain altar
preaching to the choir
preposterous
press into service
pretty kettle of fish
pretty penny  a
prick up your ears
pride comes before a fall
prime time
primrose path
procrastination is the thief of time
proof of the pudding is in the eating  the
proverbs  a list of 
pull in your horns
pull out all the stops
pull the other one its got bells on
pull the wool over your eyes
pull up stakes
pull your horns in
pull your finger out
pull yourself up by your bootstraps
pulling ones leg
punch above ones weight
pure as the driven snow
purple patch
push the boat out
push the envelope
put a damper on
put a sock in it
put a spanner in the works
put on the wooden overcoat
put on your thinking cap
put paid to
put the cart before the horse
put the mockers on
put the wood in the hole
put up your dukes
put your back up
put your best foot forward
put your nose out of joint 
put your shoulder to the wheel 
pyrric victory
quality time
quantum leap
quarter  give no 
queer as a nine bob note
queer street
queer the pitch
quick and the dead  the 
quicker than lager turns to piss
quid pro quo
quotations
rabbit and pork
rack and ruin
ragandbone man
rack your brains
rag tag and bobtail
raining cats and dogs
raining stairrods
raise cain
rank and file
raspberry tart
raze to the ground
rat arsed
read between the lines
read the riot act
real mccoy
redhanded caught 
red herring
red in tooth and claw
redletter day
red rag to a bull  a 
red sky at night 
red tape
reduplicated phrases
religion is the opium of the people 
rest on his laurels
revenge is a dish best served cold
rhyme nor reason
rhyming slang
richard of york gave battle in vain
richard the third
riddle wrapped up in an enigma  a 
ride a cockhorse to banbury cross
riding shotgun
riffraff
riley  the life of 
that rings a bell
ring a ring oroses a pocketful of posies atishoo atishoo all fall down
ring down the curtain
ringfencing
ring the changes
rinkydink
rise and shine
road less travelled  the 
road apples
road rage
roasted to a turn
rob peter to pay paul
rock and roll 
its not rocket science 
a rolling stone gathers no moss
romeo romeo wherefore art thou romeo
rose by any other name would smell as sweet  a 
rose is a rose is a rose
rosie lea
rough diamond



round robin
route one
rub of the green
rule of thumb
rum do
rumpypumpy
run a mile
run amok
run of the mill
run out of steam
run rings around
run the gauntlet
sacred cow
safe as houses  as
safe pair of hands  a 
safe sex
salad days
salt of the earth  the 
san fairy ann
sandwich short of a picnic
save face
save ones bacon 
saved by the bell
savoir faire
say cheese
say goodnight gracie
scapegoat
scarper
scotfree
scott sir walter  phrases coined by 
screw your courage to the sticking place
scuse me while i kiss this guy
sea change
sealed with a loving kiss
season of mists and mellow fruitfulness
secondguess
security blanket
see a pin and pick it up all the day youll have good luck see a pin and let it lie bad luck youll have all day
see red
seek and you shall find
seen better days
send packing
senior citizen
sent to coventry
separate the sheep from the goats
set ones cap at
set your teeth on edge
sex and shopping
sevenyear itch
sexton blake
shebang  the whole 
shaggy dog story
shake a leg
shakers and movers
shakespeare phrases and sayings of 
shall i compare thee to a summers day
shambles
shanks mareshanks pony
share and share alike
shillyshally
ship shape and bristol fashion
 shit end of the stick  the 
shit for brains
shiver my timbers
shoddy
short end of the stick  the 
shot across the bows
shot heard round the world  the 
shot in the arm
shot in the dark
shoot through
short shrift
show a leg  see shake a leg
show your mettle
shrinking violet
shuffle off this mortal coil
shut your cakehole
siamese twins
sick puppy a 
sight for sore eyes a 
silly billy
silly season
silver lining  every cloud has a 
sir walter scott phrases coined by 
silence is golden
silver bullet
similes
sitting pretty
sixes and sevens  at 
skeleton in the closet
skid row
skin and blister
by the skin of your teeth
the skys the limit
sledgehammer to crack a nut  a 
sleep like a top
sleep on a clothesline
sleep tight
sleeveless errand
sloane ranger
slush fund
smallest room in the house  the
smart casual
smoke and mirrors
snug as a bug in a rug
so sue me
soapdodger
sods law
sold down the river
some are born great some achieve greatness and some have greatness thrust upon em
some men are born mediocre some men achieve mediocrity and some men have mediocrity thrust upon them
someone is walking over my grave
something for the weekend sir
something nasty in the woodshed
something old something new something borrowed something blue
son of a bitch
son of a gun
sorry sight
sound bite
sound out
sour grapes
space the final frontier
spare the rod and spoil the child
speak of the devil
speak softly and carry a big stick
special relationship
spellingbee
spend a penny
spick and span
spill the beans
spin doctor



spitting feathers
spitting image
spoonerisms
spring forward fall back
spruceup
square meal
squeaky bum time
stand and deliver
stand up guy
standing on the shoulders of giants
starcrossed lovers
stark raving mad
stars and garters  my 
start from scratch
steal a march
steal my thunder
step up to the plate
stick in the mud
sticks and stones may break my bones
sticky wicket
stiff upper lip
stiffen the sinews
stinking rich
stitch in time saves nine  a 
stone the crows
stones throw
stonyhearted
stool pigeon
storm in a teacup
straight as a die
straight from the horses mouth
strain at the leash
straitlaced
strait and narrow
stranger danger
stranger than fiction  truth is 
strike while the iron is hot
stuff and nonsense
stump up
such is life
surf and turf
 surfing the netsurfing the internetsurfing the web 
survival of the fittest
suspension of disbelief
swan song
sweet fanny adams
swing for you
swing the lead
tail wagging the dog  the 
take a back seat
take care of the pence and the pounds will take care of themselves
take down a peg or two
take potluck 
take the bit between your teeth
take the cake
take the gilt off the gingerbread
take the mickey
take the upper hand
take umbrage 
take with a grain of salt
taken aback
taken for a ride
talk of the devil
talk the talk
talk through ones hat
talk to the hand
tall story
tanstaafl  theres no such thing as a free lunch
tattoo phrases and sayings
tawdry
tea leaf
technicolor yawn
tell it to the marines
tell me about it 
tempest in a teapot
test your mettle  see show your mettle
thats all folks
thats all she wrote
thats one small step for a man a giant leap for mankind
the ants are my friends theyre blowing in the wind
the apple never falls far from the tree
the apple of my eye
the back of beyond
the balance of power
the balance of trade
the bane of my life
the bees knees
the belle of the ball
the best  defense is a good offence
the best laid schemes of mice and men
the big apple
the big easy
the birds and the bees
the bitter end
the blind leading the blind
the bread of life
the buck stops here
the call of the wild
the camera cannot lie
the chickens come home to roost
the child is father to the man the collywobbles
the course of true love never did run smooth
the crack of doom
the crapper
the customer is always right
the cut of your jib
the dark side
the darkest hour is just before the dawn
the devil has all the best tunes
the devil incarnate
the devil is in the details
the devil makes work for idle hands to do
the devil take the hindmost
the devil to pay
the die has been cast
the early bird catches the worm
the elephant in the room
the emperors new clothes
the ends of the earth 
the exception which proves the rule
the face that launched a thousand ships
the fat of the land
the female of the species is more deadly then the male
the fifth estate
the floozie in the jacuzzi
the fly in the ointment
the full monty
the game is afoot
the game is up
the great unwashed
the hair of the dog that bit you
the hairy eyeball
the heebiejeebies
the jury is still out
the land of nod
the last straw



the law is an ass
the life of riley
the living daylights
the love that dare not speak its name
the monstrous regiment of women
the more the merrier
the moving finger writes
the mutts nuts
the nth degree 
the opera aint over till the fat lady sings
the pen is mightier than the sword 
the pip  getgothave 
the pot calling the kettle black
the powers that be
the proof of the pudding is in the eating 
the quick and the dead
the real mccoy
the road less travelled
the road to hell is paved with good intentions
the salt of the earth 
the sevenyear itch
the shoemaker always wears the worst shoes
the short end of the stick
the shot heard round the world
the skys the limit
the smallest room in the house
the straw that broke the camels back
the tail wagging the dog
the toast of the town
the third degree
the triumph of hope over experience
the upper hand
the usual suspects
the whole kit and caboodle
the whole nine yards
the whole shebang
the writing is on the wall
the wrong side of the blanket
the year dot
the yellow peril
there is more than one way to kill a cat
there are three kinds of lies 
there but for the grace of god go i
there is no alternative
theres an r in the month
theres method in my madness
theres no fool like an old fool
theres no place like home
theres no such thing as a free lunch tanstaafl
theres no such thing as bad publicity
theres one a sucker born every minute
theres one law for the rich and another law for the poor
they couldnt hit an elephant at this distance
thick and fast 
thick and thin 
as thick as thieves
as thick as two short planks
thin air  vanish into 
thing of beauty is a joy forever  a 
things that go bump in the night
think outside the box
thinking cap
third degree  the 
third time lucky
thomas paine  the writings of
thorn in the flesh
thou shalt not kill
though this be madness yet there is method in it
three score and ten
three sheets to the wind
three strikes and you are out
through thick and thin 
throw in the towel
throw good money after bad
throw your hat into the ring
thumbs up
thus far into the bowels of the land
ticked off
tickle the ivories
tickled pink
tide over
tie the knot
till the cows come home
time and tide wait for no man
tinkers damn
tilting at windmills
tissue of lies
titfer
tit for tat 
tits up
to a t
to all intents and purposes
to be or not to be that is the question
to beggar belief
to boldly go where no man has gone before
to boot
to cast the first stone
to err is human to forgive divine
to gild refined gold to paint the lily
to sleep perchance to dream ay theres the rub
to the manner born
to the nth degree 
to travel hopefully is a better thing than to arrive
toast of the town
toe the line
toecurling
toffeenosed
tommy atkins
tomorrow is another day
tongue in cheek
too big for your breeches
too much of a good thing
toodleoo
tooth and nail
top dog
top drawer
top notch
topsyturvy
total shambles
touch and go
touch with a bargepole  wouldnt 
touch wood 
touchyfeely
tout de suite
tower of strength
 train surfing
trick or treat
trip the light fantastic
trouble and strife
true blue
truth is stranger than fiction
truth will out
tuckered out
turkeys voting for christmas
turn a blind eye
turn of phrase
turn the tables
turn up for the books
turn up trumps
twelve good men and true
twenty three skidoo
twenty four seven
two cents worth
two heads are better than one
two peas in a pod 
under the thumb



under your hat  keep it 
under the auspices of
get  underway
under wraps
uneasy lies the head that wears a crown
union jack
the great  unwashed
the  unkindest cut of all
up a blind alley
up a gum tree
 up in arms
up the creek without a paddle
up the apples and pears
up the duff
up the pole
up the wooden hill to bedfordshire
up to snuff
upper crust
upper hand
up in arms
upsadaisy
upset the applecart
up the ante
upside down
urban myth
use your loaf
usual suspects  the 
using a sledgehammer to crack a nut
valentines day poems and sayings
van surfing
vanish into thin air
veg out
verbosity leads to unclear inarticulate things
vice versa
vicious circle
visavis
visit the ladies room
vorsprung durch technik
walk free
walk the walk
walk the plank
walter scott phrases coined by 
warts and all
watch the birdie
a watched pot never boils 
watching brief
wave a red rag to a bull
wax lyrical
wax poetic
we are a grandmother
we are not amused
we few we happy few we band of brothers
we have seen better days
we know where you live
weakest link  a chain is only as strong as its 
wear the trousers
wear your heart on your sleeve
weasel words
weewee
well heeled
well read
wet behind the ears
wet blanket
what a piece of work is man
what are you like
what football is all about
what god has joined together let no man put asunder
what part of no dont you understand
what you see is what you get  wysiwyg
whats in a name that which we call a rose by any other name would smell as sweet
whats not to like
whats up doc
when in rome do as the romans do
when it comes to the crunch
when pigs fly
when the going gets tough the tough get going
when the shit hits the fan
where theres muck theres brass
whet your appetite
which  is which
which  witch is which
while you live tell truth and shame the devil
whip round
whipper snapper
whipping boy
whistle and flute
whistle blower
whistle down the wind
white as snow
white bread
white elephant
whole kit and caboodle  the 
wholehearted
whole nine yards  the
whole shebang  the 
whoopsadaisy
why does bread always fall butter side down
why should the devil have all the best tunes
wick  you get on my 
wide berth  keep a 
wild and woolly
wild goose chase
willy nilly
win hands down
win one for the gipper
on a wing and a prayer
wing it
winter drawers on
wish you were here
with bells on
without a shadow of a doubt
without let or hindrance 
without so much as a by your leave
woe betide you
woe is me
wolf in sheeps clothing
woman needs a man like a fish needs a bicycle  a 
womans place is in the home  a 
women and children first
wooden hill to bedfordshire
word association football
word for word
word in edgeways  a 
word in your shelllike  a 
words ending in gry
worse for wear
worth ones salt
wotcher
wouldnt touch with a bargepole
wreak havoc 
writing is on the wall  the 
 wrong end of the stick  the
wrong side of the blanket  the
yada yada
year dot  the
yellowbelly
yellow peril
you are what you eat
you can catch more flies with honey than with vinegar
you can lead a horse to water but you cant make it drink
you can lead a whore to culture but you cant make her think
you cant get blood out of a stone
you cant have your cake and eat it too 
you cant make a silk purse out of a sows ear
you cant teach an old dog new tricks
you get on my wick
you look as if youve been dragged through a hedge backwards
youll wonder where the yellow went when you brush your teeth with pepsodent
young turk
your days are numbered
your money or your life
your name is mud
youve never had it so good
zero tolerance
zigzag",care and compassion for others
minced oaths,"the english being a restrained lot have a long list of euphemistic phrases many of which became
 part of the language before it spread to other parts of the world the root cause of these is a
 wish to communicate without being explicit this is something the english are particularly fond of
 hence their long tradition of doubleentendre comedy"
minced words,to mince words is to moderate ones language to keep within the bounds of  what is prudent or polite minced words are usually referred to in the negative do not mince your words
mind your ps and qs,be on your best behaviour be careful of your language
minds ear,ones aural memory or imagination
minds eye,ones visual memory or imagination
ministering angel shall my sister be  a,to minister is to serve or act as a subordinate agent so a ministering angel is a kindhearted person providing help and comfort
mint condition,a condition of perfection or newness suggestive of that of a freshly minted coin
misery acquaints a man with strange bedfellows,from shakespeares the tempest 1610
miss is as good as a mile,a narrow miss is as bad as a wide miss  they are both misses
moaning minnie,"a
habitual grumbler"
montezumas revenge,the diarrhoea spelled in america as diarrhea  that is often suffered by tourists when travelling to foreign parts
money phrases,money after sex and the weather this must be our favourite topic of conversation heres the phrases and sayings that we use to talk about it
money for old rope,a profitable return for little effort
monstrous regiment of women,a disparaging description often used to describe feminist or rowdy women by their detractors
monty  the full,complete the whole thing
moot point,an irrelevant argument
morbid obesity,the condition of having a body weight high enough to pose a severe risk to health this is informally measured as having a body weight which is more than twice the optimum it is indicated more precisely by a body mass index of 40 or over bmi  the weight in kilograms divided by the square of height in metres
more bang for your buck,more for your money
more fool you,said in reply to someone who has reported doing something that is considered to be obviously foolish
more haste less speed,something even if it isnt what you ideally would prefer is better than nothing
more honoured in the breach than in the observance,this is usually thought to mean a rule which is more often broken than observed the context of the play shows the real meaning as it is more honourable to breach than to observe
more light,no information
morning person,someone who functions better in the morning as compared to later in the day
mother country,ones native land or the native land of ones ancestors
motley crew,an assorted and illdisciplined group of neer do wells
movable feast,a feast day that falls on the same day of the week each year but which has a date which varies
movers and shakers,people of energetic demeanour who initiate change and influence events
moving finger writes  the,the phrase the moving finger writes expresses the notion that whatever one does in ones life is ones own responsibility and cannot be changed
moving the goalposts,changing the target of a process or competition to by one side in order to gain advantage
much ado about nothing,much ado about nothing means a great deal of fuss over a thing of little importance
much of a muchness,similar  difficult to distinguish
mud  your name is,you are unpopular
mull something over,to mull something over is to turn it over in ones mind in a reflective way
multitude of sins,a number of undesirable qualities
mumbo jumbo,nonsense especially meaningless speech and often associated with spurious religious ritual
mums the word,mums the word means keep quiet  say nothing
murphys law,the socalled law is usually expressed as if anything can go wrong it will
music has charms to soothe the savage breast,literal meaning that literal meaning is open to misinterpretation as this phrase is frequently written as music has charms to soothe the savage beast
mutts nuts  the,"excellent
 the highest quality"
mutt and jeff,when written and pronounced as mutt n jeff this has the meaning deaf it is also a slang term for the good copbad cop method of police interrogation or any other pair of people or items which are contrasting in size or nature
mutton dressed as lamb,mutton dressed as lamb is a putdown aimed at an ageing woman who is dressed or made up of someone much younger
my bad,my mistake  im to blame
my better half,my husband or my wife
my cup of tea,something or someone that one finds pleasing
my cup runneth over,my cup runneth over means i have more than enough for my needs
my giddy aunt,an exclamation of surprise
my husband and i,this turn of phrase has often been used by queen elizabeth ii in public speeches the queen married the duke of edinburgh formerly prince philip of greece and denmark on 20 november 1947 since that day he has been resigned to walking a few paces behind her in public
my minds eye,ones visual memory or imagination
my old china,affectionate term for a friend
my old dutch,an affectionate term for wife
my salad days,"the
 days of ones youthful inexperience"
my stars and garters,a jocular exclamation or expression of astonishment
my way or the highway,the idiom my way or the highway forcefully expresses the view that you can take it or leave it in fact it really means take it or leave as the highway refers to the road the listener should go down if they dont agree with the speaker
nail your colours to the mast,to defiantly display ones opinions and beliefs also to show ones intention to hold on to those beliefs until the end
name and shame,the publication of the identity of a person or group that is culpable in some antisocial act in order to shame them into remorse
name is mud,you are unpopular
nasty brutish and short,nasty brutish and short is a 17th century phrase describing the life of mankind when in a state of war
nation of shopkeepers  a,this proverbial saying has a straightforward literal meaning although it is intended to imply criticism of the english as a nation with little ambition
nautical phrases,many phrases that have been adopted into everyday use originate from seafaring  in particular from the days of sail virtually all of these are metaphorical and the original nautical meanings are now forgotten
near the knuckle,just at the limit of acceptability especially regarding sexual morals
necessity is the mother of invention,difficult situations inspire ingenious solutions
neer do well,a worthless good for nothing person
needs must,necessity compels in current usage this phrase is usually used to express something that is done unwillingly but with an acceptance that it cant be avoided for example i really dont want to cook tonight but needs must i suppose
neither a borrower nor a lender be,literal meaning
neither fish nor flesh nor good red herring,a deliberate misleading and diverting of attention from the real issue
neither here nor there,of no consequence either one way or the other
nest of vipers  a,a group of iniquitous people congregating together
never give a sucker an even break,literal meaning but usually used for comic effect
never knowingly undersold,"the slogan
of the john lewis partnership from the 1920s"
never look a gift horse in the mouth,the proverbial saying dont look a gift horse in the mouth means dont be ungrateful when you receive a gift
nevernever land,a utopian dreamland
never the twain shall meet,two things which are so different as to have no opportunity to unite
new kid on the block,a new arrival in an area or in a group of young friends
nice as ninepence,neat tidy wellordered
nice kettle of fish,the expression a kettle of fish is usually part of the phrases a fine kettle of fish a pretty kettle of fish etc which mean a muddle or awkward state of affairs
night owl,a person who is active late at night
nine days wonder,a novelty that loses its appeal after a few days
nip and tuck,a close result in a race or contest more recently the name of a cosmetic surgery procedure
nip in the bud,to nip something in the bud is to put a stop to it while it is still in its early development
no dice,the expression no dice is a refusal to accept a proposition  equivalent to nothing doing
no holds barred,without restrictions or rules
no laughing matter,not a subject for levity
no love lost,theres no love lost between them is used to describe a relationship between two people who dislike each each
no man is an island,the phrase no man is an island expresses the idea that human beings do badly when isolated from others and need to be part of a community in order to thrive
no more cakes and ale,cakes and ale are synonymous with the good life like beer and skittles
no names no packdrill,say nothing and avoid repercussions
no quarter given,show no mercy or concession in its original usage show no mercy for a vanquished opponent
no rest for the wicked,no rest for the wicked has a literal meaning  that the wicked shall be tormented in hell
no room to swing a cat,an awkwardly small confined space
no truck with,to reject or to have nothing to do with
no way jose,absolutely not never
nod is as good as a wink  a,a nod is as good as a wink expresses the idea that to a person who is ready to understand or undertake something any subtle signalling of it is sufficient the context is usually of some undertaking that is borderline illegal or of sexual innuendo
nod  the land of,the land of nod is a mythical  land where we travel to to sleep
norange  a,in 1914 the danish grammarian otto jespersen coined the term metanalysis thats rather a dry start to a piece on what is a lively and intriguing facet of the english language to find out what prompted jespersen to believe that we needed a new word lets bring in a stage prop  the humble orange
nosy parker,a nosy parker sometimes spelled nosey parker is a person of an overly inquisitive or prying nature
not a dickybird,not a sound not an utterance
not by a long chalk,not by any means a good distance away from being true
not my cup of tea,something or someone that one finds pleasing
not for all the tea in china,not at any price
not playing with a full deck,not playing with a full deck might be said about someone who was considered stupid
not rocket science,it the subject under discussion isnt difficult to understand
not tonight josephine,this is the supposed response by napoleon bonaparte when declining sex with empress josã©phine
not worth the candle,something might be considered to be not worth the candle if is too insignificant or worthless to be worth bothering with
nothing is certain but death and taxes,a rather fatalistic and sardonic proverb it draws on the actual inevitability of death to highlight the difficulty in avoiding the burden of taxes
nothing succeeds like success,a proverb expressing the idea that success breeds further success
nothing ventured nothing gained,in order to achieve you need to act and take risks
now is the winter of our discontent,now is the winter of our discontent express the idea that we have reached the depth of our unhappiness and that better times are ahead
nth degree,to the utmost degree without limit
nul points,no points  the lowest possible score awarded to performers in the eurovision song contest the term is also sometimes used as a jokey judgement on any hopelessly inept performance this is sometimes accompanied by the raising of imaginary cards showing zero in a mock simulation of the scoring in iceskating competitions
nutshell  in a,in a few words concisely stated
o romeo romeo wherefore art thou romeo,the literal meaning of o romeo romeo wherefore art thou romeo would appear to be where are you romeo in fact using the meaning of wherefore that would have been commonplace in shakespeares day the playright suggested the meaning of for what reason are you romeo
o ye of little faith,this is the rebuke levelled at the disciples of christ when seeming to doubt his divinity the phrase is also more widely used to describe any christian doubter in a secular setting it may be intended as a humorous jibe when doubting someones abilities
odds bodkins,gods body
off his own bat,by an individuals own efforts
off the record,something said in confidence that the speaker doesnt want attributed to them
off with his head,literal meaning that is chop off his head it is now usually used humorously as a means of mildly reproaching someone
offing  in the,imminent likely to happen soon
oh my stars and garters,a jocular exclamation or expression of astonishment
oh they have slain the earl of moray and lady mondegreen,the misheard lyric that was the source of the generic term for misheard lyrics  mondegreens
old as methuselah,"very
old"
old as the hills,exceedingly old
old chestnut,a story that has been told repeatedly before a venerable joke hence in extended use anything trite stale or too often repeated
old codger,an old man especially one who is eccentric curmudgeonly or grotesque
old hat,oldfashioned hackneyed
old lang syne  see auld lang syne,the anglicized version of auld lang syne which means old longsince or old longago
on a hiding to nothing,to be faced with a situation which is pointless as a successful outcome is impossible this is usually expressed in terms of a sporting contest in which one of two outcomes is foreseen either a hiding or nothing the to in the phrase indicates alternative outcomes as in terms like 6 to 1 or dollars to doughnuts
on a wing and a prayer,in a difficult situation relying on meagre resources and luck to get out of it
on carey street,"euphemism
for being bankrupt or in debt"
on cloud nine,to be on cloud nine is to be in a state of blissful happiness
on queer street,an imaginary street where people in difficulty live
on tenterhooks,to be on tenterhooks is to be in a state of uncomfortable suspense or impatience
on the ball,to be alert in command of ones senses
on the bubble,on the threshold finely balanced between success and failure for example if a qualifying competition for an event allowed the top eight runners to proceed to the next round then those who were close to qualification and could get through by a small increase in performance would be said to be on the bubble
on the button,just right exactly on target or at exactly the right time
on the dole,unemployed and in receipt of state benefit
on the fiddle,engaged in a fraud
on the pigs back,to be in luck in a prosperous happy state
on the qt,on the quiet
on the shoulders of giants,using the understanding gained by major thinkers who have gone before in order to make intellectual progress
on the side of the angels,originally supporting the theory of the divine creation
on the wagon,on the wagon  abstaining from alcohol off the wagon  returned to drinking after an attempt to give it up
on the warpath,intent on a confrontation or fight
on with the motley,prepare for a stage performance latterly also used more widely just to mean lets begin or lets continue
on your beam ends,hard up in a bad situation
on your tod,on your own
once bitten twice shy,the proverb once bitten twice shy suggests that when someone is hurt doing something they are wary of doing it again for fear of being hurt a second time
once in a blue moon,very rarely
once more unto the breach dear friends once more,let us try again one more time
onehit wonder,a performer or act usually a singer or band who has just one popular success
one fell swoop  at,at one fell swoop means suddenly in a single action
one for the road,a final drink taken just before leaving on a journey
one foot in the grave,to be near to death
one good turn deserves another,one good turn deserves another is a proverbial expression that means when someone does you a good turn a good turn done in return is appropriate
one hand washes the other,the proverb one hand washes the other expresses the idea that mutual cooperation can help both parties
one over the eight,the final drink that renders someone drunk
one sandwich short of a picnic,a jokey colloquial term for stupid
one small step for man,"these were neil
armstrongs words on first setting foot on the moon in 1969 the line is a strong contender as the most famous  ever to have been uttered"
one stop shop,a location usually a shop where various requirements can be met in one place
one swallow doesnt make a summer,a single instance of something is just that it doesnt indicate a trend
ones hearts content,to ones or your hearts content means to ones complete inner satisfaction  until ones heart is content
open season,a time when criticism or other negative actions may be expected with no mercy shown
the order of the boot,"given
the sack that is asked to leave your job see get the sack"
ough  the many ways to pronounce,english isnt an easy language to learn one reason for that is the nonstandard spelling and pronunciation theres no better example of that than in the many ways that ough is pronounced
out of sight,excellent extraordinary
out of sight out of mind,the idea that something is easily forgotten or dismissed as unimportant if it is not in our direct view
out of sorts,to be out of sorts is to be mildly unwell not in ones usual health or state of mind
out of the jaws of death,saved from great danger
out of the mouths of babes and sucklings,from the bible king james version
out on a limb,put oneself in an isolated  position in ones support of someone or something
over a barrel,to be over a barrel is to be left without choice in someone elses power
overegg the pudding,to  overegg the pudding is to go too far in exaggerating or embellishing something  to adorn or supply to excess
over the moon,very happy or delighted
over the top,to an excessive degree beyond reasonable or acceptable limits
overpaid oversexed and over here,comic line making fun of the us army in europe in wwii there was a good humoured banter between the gis that were stationed in britain prior to and during wwii and the british citizenry the gis had a comeback  calling the brits underpaid undersexed and under eisenhower
oxo cube,the tube london underground train
ps and qs  mind your,be on your best behaviour be careful of your language
packed to the gunwales,full to the brim packed tight
paddle your own canoe,act independently and decide your own fate
paint the town red,to paint the town red is to engage in a riotous spree
panic stations,a state of high alert often a simulated panic for comic effect
paper tiger,"a
person who appears to have power but is in reality ineffectual"
